ранг	ранг_в_группе	расстояние	сигнатура	d_ab	d_L	ловушка	d_ловушки	L	a	b	C	цвет_измерен	track	t_best	t0	t1	bbox	score	lat	lon	alt
199	199	1.549	палка-ручка-контроль	11.4	17.0	корка-жёлтая-на-скале	0.380	40.6	-1.0	17.0	17.0	bbox	198	11.0	11.0	11.0	1865,211,6,5	80.9	39.4861389	73.5856385	4439.9
200	200	0.610	стакан-марка-красная	4.2	8.4	снег-розовый	1.050	58.2	8.0	4.0	8.9	bbox	199	0.0	0.0	0.0	247,233,4,10	80.7	39.4861410	73.5856368	4439.8
201	201	1.610	стакан-марка-красная	3.4	43.5	порода-в-тени	1.349	6.3	8.0	-0.5	8.0	bbox	200	5.0	5.0	5.0	1387,247,6,4	79.7	39.4861400	73.5856370	4439.8
202	202	0.978	палка-ручка-пробка	7.6	6.3	лишайник-жёлтый-на-камне	0.961	82.0	8.0	16.0	17.9	bbox	201	11.0	11.0	11.0	574,347,8,4	78.7	39.4861389	73.5856385	4439.9
203	203	0.617	палка-ручка-контроль	4.9	1.1	лишайник-жёлтый-на-камне	0.695	56.5	4.0	21.5	21.9	bbox	202	0.0	0.0	0.0	1211,435,6,4	78.6	39.4861410	73.5856368	4439.8
204	204	1.611	палка-ручка-пробка	12.2	14.9	корка-жёлтая-на-скале	1.242	60.8	-7.0	21.0	22.1	bbox	203	0.0	0.0	0.0	297,929,4,5	77.1	39.4861410	73.5856368	4439.8
205	205	0.981	палка-ручка-пробка	7.8	2.6	лишайник-жёлтый-на-камне	0.480	73.1	-1.0	18.0	18.0	bbox	204	5.0	5.0	5.0	641,177,8,4	76.7	39.4861400	73.5856370	4439.8
206	206	0.421	палка-ручка-контроль	2.8	6.4	лишайник-жёлтый-на-камне	1.261	51.2	8.0	24.0	25.3	bbox	205	5.0	5.0	5.0	97,797,6,4	75.0	39.4861400	73.5856370	4439.8
207	207	0.674	палка-ручка-пробка	5.4	1.0	лишайник-жёлтый-на-камне	0.649	74.7	0.0	21.0	21.0	bbox	206	5.0	5.0	5.0	409,705,8,4	73.9	39.4861400	73.5856370	4439.8
208	208	2.116	стакан-марка-красная	9.5	49.0	снег-освещённый	0.718	98.8	1.5	0.5	1.6	bbox	207	0.0	0.0	0.0	796,173,5,6	73.6	39.4861410	73.5856368	4439.8
209	209	2.248	стакан-марка-красная	11.0	49.8	снег-освещённый	0.695	99.6	0.0	1.0	1.0	bbox	208	3.0	3.0	3.0	1069,603,4,7	72.5	39.4861403	73.5856368	4439.8
210	210	1.140	стакан-марка-красная	8.1	14.9	снег-розовый	1.079	64.7	7.0	8.0	10.6	bbox	209	3.0	3.0	3.0	179,0,7,3	71.5	39.4861403	73.5856368	4439.8
211	211	2.318	стакан-марка-красная	14.9	38.8	корка-жёлтая-на-скале	1.407	11.0	0.0	11.0	11.0	bbox	210	3.0	3.0	3.0	1807,104,7,5	68.4	39.4861403	73.5856368	4439.8
212	212	1.453	стакан-марка-красная	11.2	11.2	порода-в-тени	0.697	38.6	0.0	-1.0	1.0	bbox	211	0.0	0.0	0.0	1500,1009,5,6	67.6	39.4861410	73.5856368	4439.8
