track	t_best	t0	t1	bbox	length_px	score	lat	lon	alt
240	76.1	74.1	77.1	1068,936,62,102	116.5	1230.9	39.4863280	73.5937830	4927.6
241	211.2	211.2	211.2	460,460,38,184	183.3	1223.9	39.4863280	73.5937840	4927.5
242	188.2	188.2	188.2	1320,924,34,112	113.7	1221.8	39.4863260	73.5937830	4927.4
243	82.1	79.1	82.1	1126,180,54,86	98.7	1221.5	39.4863270	73.5937820	4927.5
244	18.0	14.0	25.0	316,684,64,114	128.0	1221.0	39.4863230	73.5937860	4927.6
245	224.2	224.2	224.2	1112,952,40,82	85.4	1210.9	39.4863270	73.5937830	4927.5
246	55.1	55.1	56.1	1350,348,50,74	86.5	1205.1	39.4863260	73.5937820	4927.6
247	221.2	221.2	222.2	1442,754,40,134	136.8	1200.5	39.4863270	73.5937830	4927.5
248	36.0	36.0	39.0	696,944,50,94	102.0	1200.2	39.4863240	73.5937810	4927.6
249	160.2	160.2	160.2	1558,8,32,112	113.6	1192.7	39.4863280	73.5937840	4927.5
250	193.2	193.2	193.2	1040,390,34,94	96.1	1189.9	39.4863270	73.5937820	4927.4
251	224.2	224.2	224.2	1612,972,28,108	109.1	1189.0	39.4863270	73.5937830	4927.5
252	219.2	218.2	220.2	1188,282,30,184	182.4	1183.0	39.4863280	73.5937840	4927.5
253	86.1	84.1	92.1	1376,246,44,130	133.0	1181.1	39.4863270	73.5937830	4927.5
254	55.1	55.1	56.1	1258,98,62,84	92.8	1171.2	39.4863260	73.5937820	4927.6
255	78.1	78.1	78.1	442,770,58,126	133.7	1170.7	39.4863280	73.5937820	4927.6
256	77.1	77.1	77.1	548,986,56,94	106.3	1168.5	39.4863280	73.5937830	4927.6
257	193.2	189.2	193.2	1354,162,58,160	161.5	1166.0	39.4863270	73.5937820	4927.4
258	217.2	217.2	217.2	1262,30,30,136	136.4	1161.8	39.4863280	73.5937840	4927.5
259	176.2	176.2	176.2	374,630,46,106	105.4	1159.8	39.4863270	73.5937840	4927.5
260	113.1	113.1	120.1	386,846,52,104	109.6	1159.7	39.4863270	73.5937820	4927.5
261	91.1	90.1	91.1	172,900,108,180	207.2	1157.3	39.4863270	73.5937820	4927.5
262	5.0	5.0	6.0	472,950,34,130	131.3	1153.9	39.4863190	73.5937890	4927.5
263	205.2	205.2	205.2	1152,790,24,144	142.9	1153.8	39.4863270	73.5937840	4927.5
264	43.0	40.0	44.0	282,800,62,106	118.1	1149.6	39.4863250	73.5937810	4927.6
265	77.1	60.1	77.1	1282,256,46,126	128.6	1146.5	39.4863280	73.5937830	4927.6
