ранг	ранг_в_группе	расстояние	сигнатура	d_ab	d_L	ловушка	d_ловушки	L	a	b	C	цвет_измерен	track	t_best	t0	t1	bbox	score	lat	lon	alt
295	295	1.732	рюкзак-синий	11.2	28.7	снег-в-тени	2.241	67.5	-1.0	-25.0	25.0	bbox	294	42.0	40.0	42.0	1337,21,26,8	460.5			
296	296	1.093	рюкзак-синий	6.1	22.0	снег-в-тени	1.570	60.8	0.0	-20.0	20.0	bbox	295	81.0	79.0	82.0	375,271,42,18	460.5			
297	297	0.890	рюкзак-синий	6.1	13.0	снег-в-тени	0.142	51.8	0.0	-8.0	8.0	bbox	296	120.0	118.0	125.0	1425,213,34,8	458.4			
298	298	1.122	рюкзак-синий	5.8	23.9	снег-в-тени	1.876	14.9	4.0	-19.0	19.4	bbox	297	23.0	22.0	23.0	1909,9,11,22	457.2			
299	299	0.715	рюкзак-синий	5.1	9.0	снег-в-тени	1.398	47.8	2.0	-19.0	19.1	bbox	298	117.0	117.0	120.0	833,431,66,21	457.2			
300	300	1.935	стакан-марка-красная	9.2	43.5	снег-освещённый	0.597	93.3	2.0	-1.0	2.2	bbox	299	128.0	128.0	128.0	1180,26,19,17	455.8			
301	301	1.222	рюкзак-синий	3.2	32.4	снег-в-тени	0.915	71.2	0.0	-11.0	11.0	bbox	300	131.0	131.0	131.0	1411,6,14,19	453.5			
302	302	1.061	рюкзак-синий	8.5	0.8	снег-в-тени	1.771	38.0	7.0	-20.0	21.2	bbox	301	109.0	109.0	109.0	7,521,18,22	453.3			
303	303	1.595	палка-древко-контроль	11.2	21.1	снег-в-тени	2.145	62.7	-2.0	-24.5	24.6	bbox	302	46.0	46.0	46.0	1227,27,25,14	453.0			
304	304	0.497	рюкзак-синий	3.2	8.5	снег-в-тени	0.376	47.3	0.0	-11.0	11.0	bbox	303	37.0	37.0	39.0	1885,509,35,16	451.3			
305	305	0.748	рюкзак-синий	5.1	11.0	снег-в-тени	0.724	27.8	0.0	-9.0	9.0	bbox	304	58.0	51.0	58.0	1133,637,44,11	451.2			
306	306	1.418	стакан-марка-красная	11.2	6.7	порода-в-тени	0.986	43.1	0.0	3.0	3.0	bbox	305	130.0	130.0	130.0	1609,619,16,22	440.1			
307	307	0.938	стакан-марка-красная	7.2	7.8	порода-охристая	0.590	42.0	8.0	7.5	11.0	bbox	306	134.0	134.0	137.0	25,703,8,34	436.8			
308	308	1.158	рюкзак-синий	7.6	18.5	снег-в-тени	1.678	57.3	-2.0	-21.0	21.1	bbox	307	36.0	35.0	36.0	353,149,50,10	434.6			
309	309	1.770	стакан-марка-красная	10.0	34.9	порода-в-тени	0.441	14.9	1.0	0.0	1.0	bbox	308	61.0	61.0	61.0	1913,597,7,34	434.3			
310	310	1.383	рюкзак-синий	5.0	34.5	снег-в-тени	0.929	73.3	1.0	-9.0	9.1	bbox	309	116.0	115.0	116.0	77,494,24,17	432.0			
311	311	1.561	стакан-марка-красная	11.0	20.4	порода-в-тени	0.426	29.4	0.0	0.0	0.0	bbox	310	55.0	52.0	55.0	1861,705,12,24	431.9			
312	312	1.477	палка-древко-контроль	3.6	39.4	снег-в-тени	1.879	81.0	-6.0	-18.0	19.0	bbox	311	31.0	27.0	32.0	759,5,32,12	431.6			
313	313	1.469	рюкзак-синий	11.0	14.5	порода-в-тени	0.472	24.3	1.0	-3.0	3.2	bbox	312	2.0	2.0	3.0	1861,926,16,29	427.9			
314	314	1.583	стакан-марка-красная	12.0	14.1	снег-в-тени	1.537	63.9	11.0	-11.0	15.6	bbox	313	118.0	118.0	118.0	26,662,12,26	427.1			
315	315	0.857	рюкзак-синий	3.6	20.4	снег-в-тени	1.203	59.2	-1.0	-17.0	17.0	bbox	314	100.0	100.0	100.0	895,337,8,24	426.7			
316	316	1.706	стакан-марка-красная	12.4	20.2	снег-освещённый	0.460	70.0	-1.0	-2.0	2.2	bbox	315	9.0	9.0	9.0	1887,59,33,8	425.4			
317	317	1.060	стакан-марка-красная	3.6	26.9	снег-розовый	0.839	76.7	8.0	-1.0	8.1	bbox	316	94.0	93.0	94.0	19,269,14,12	424.9			
318	318	2.949	стакан-марка-красная	22.8	21.2	порода-охристая	2.817	28.6	33.0	7.0	33.7	bbox	317	96.0	96.0	96.0	1319,526,8,31	424.0			
319	319	1.059	палка-древко-контроль	1.1	29.4	снег-в-тени	1.453	71.0	-7.0	-14.5	16.1	bbox	318	28.0	27.0	28.0	429,44,30,11	423.1			
320	320	2.049	стакан-марка-красная	12.2	38.4	снег-освещённый	0.293	88.2	-1.0	-1.0	1.4	bbox	319	130.0	126.0	130.0	1769,24,30,15	420.5			
321	321	2.090	стакан-марка-красная	11.0	43.9	порода-в-тени	0.589	5.9	0.0	0.0	0.0	bbox	320	38.0	29.0	45.0	1905,1071,15,9	420.0			
322	322	1.961	стакан-марка-красная	11.9	35.7	снег-пересвеченный	0.722	85.5	1.0	-5.5	5.6	bbox	321	90.0	89.0	90.0	223,712,18,25	419.8			
323	323	2.121	стакан-марка-красная	11.0	45.1	порода-в-тени	0.626	4.7	0.0	0.0	0.0	bbox	322	36.0	35.0	37.0	1757,1065,10,15	417.9			
324	324	1.501	рюкзак-синий	5.1	38.1	снег-в-тени	1.425	76.9	6.0	-13.0	14.3	bbox	323	130.0	130.0	130.0	713,94,32,9	417.3			
