video	t	drone_lat	drone_lon	drone_alt	hit_lat	hit_lon	hit_alt	dist_m	gb_yaw	gb_pitch	f_px	file
DJI_20260813183004_0001_Z	100.3	39.483398	73.585136	4552					131.3	-31.3	6310.0	DJI_20260813183004_0001_Z_t0100.jpg
DJI_20260813183004_0001_Z	108.3	39.483398	73.585136	4552					135.0	-32.1	4827.0	DJI_20260813183004_0001_Z_t0108.jpg
DJI_20260813183004_0001_Z	113.7	39.483399	73.585136	4552					140.5	-31.0	3781.0	DJI_20260813183004_0001_Z_t0113.jpg
DJI_20260813183004_0001_Z	120.3	39.483397	73.585137	4552					140.2	-31.0	3163.0	DJI_20260813183004_0001_Z_t0120.jpg
DJI_20260813183004_0001_Z	131.7	39.483399	73.585137	4552					135.3	-45.2	2910.0	DJI_20260813183004_0001_Z_t0131.jpg
DJI_20260813183004_0001_Z	136.0	39.483401	73.585136	4552					135.6	-32.5	2910.0	DJI_20260813183004_0001_Z_t0136.jpg
DJI_20260813183004_0001_Z	158.3	39.483400	73.585137	4552					140.9	-21.0	4517.0	DJI_20260813183004_0001_Z_t0158.jpg
DJI_20260813183004_0001_Z	159.7	39.483400	73.585137	4552					139.8	-20.3	6345.0	DJI_20260813183004_0001_Z_t0159.jpg
DJI_20260813183004_0001_Z	168.0	39.483403	73.585138	4552					139.4	-16.6	7394.0	DJI_20260813183004_0001_Z_t0168.jpg
DJI_20260813183004_0001_Z	206.7	39.483402	73.585135	4552					141.6	-4.4	6807.0	DJI_20260813183004_0001_Z_t0206.jpg
DJI_20260813183004_0001_Z	209.7	39.483403	73.585135	4552					141.6	-3.1	9713.0	DJI_20260813183004_0001_Z_t0209.jpg
DJI_20260813183004_0001_Z	219.7	39.483403	73.585137	4552					140.3	-1.9	12278.0	DJI_20260813183004_0001_Z_t0219.jpg
DJI_20260813183004_0001_Z	221.7	39.483403	73.585137	4552					140.3	-1.9	14476.0	DJI_20260813183004_0001_Z_t0221.jpg
DJI_20260813183534_0014_Z	0.0	39.483095	73.585119	4556					112.6	-4.0	14280.0	DJI_20260813183534_0014_Z_t0000.jpg
DJI_20260813183534_0014_Z	35.3	39.483099	73.585120	4556					105.6	4.9		DJI_20260813183534_0014_Z_t0035.jpg
DJI_20260813183727_0015_Z	0.0	39.483466	73.585345	4556					143.9	-36.9	7323.0	DJI_20260813183727_0015_Z_t0000.jpg
DJI_20260813183727_0015_Z	15.0	39.483465	73.585347	4556					141.9	-48.9	7435.0	DJI_20260813183727_0015_Z_t0015.jpg
DJI_20260813183727_0015_Z	24.0	39.483464	73.585346	4556					135.7	-44.3	9205.0	DJI_20260813183727_0015_Z_t0024.jpg
DJI_20260813183727_0015_Z	34.0	39.483463	73.585350	4556					133.2	-42.2	11796.0	DJI_20260813183727_0015_Z_t0034.jpg
DJI_20260813183727_0015_Z	40.3	39.483462	73.585350	4556					130.8	-46.5	14013.0	DJI_20260813183727_0015_Z_t0040.jpg
DJI_20260813183727_0015_Z	66.7	39.483465	73.585345	4556					129.3	-48.2	1702.0	DJI_20260813183727_0015_Z_t0066.jpg
DJI_20260813183727_0015_Z	81.3	39.483490	73.585445	4552					134.3	-48.2	1834.0	DJI_20260813183727_0015_Z_t0081.jpg
DJI_20260813183727_0015_Z	84.7	39.483549	73.585492	4552					147.7	-48.2	1966.0	DJI_20260813183727_0015_Z_t0084.jpg
DJI_20260813183727_0015_Z	87.7	39.483633	73.585510	4552	39.483601	73.585527	4548	5	157.0	-44.5	1844.0	DJI_20260813183727_0015_Z_t0087.jpg
DJI_20260813183727_0015_Z	95.3	39.483685	73.585577	4553	39.483633	73.585592	4548	8	167.5	-40.8	1723.0	DJI_20260813183727_0015_Z_t0095.jpg
DJI_20260813183727_0015_Z	103.7	39.483669	73.585625	4553	39.483633	73.585630	4550	5	174.4	-40.9	2073.0	DJI_20260813183727_0015_Z_t0103.jpg
DJI_20260813183727_0015_Z	110.3	39.483642	73.585687	4553					180.2	-43.7	2655.0	DJI_20260813183727_0015_Z_t0110.jpg
DJI_20260813183727_0015_Z	116.3	39.483643	73.585686	4553					180.2	-45.0	4723.0	DJI_20260813183727_0015_Z_t0116.jpg
DJI_20260813183727_0015_Z	118.0	39.483643	73.585685	4553					180.2	-45.0	6275.0	DJI_20260813183727_0015_Z_t0118.jpg
DJI_20260813183727_0015_Z	119.7	39.483642	73.585684	4553					180.2	-45.0	7828.0	DJI_20260813183727_0015_Z_t0119.jpg
DJI_20260813183727_0015_Z	122.3	39.483647	73.585670	4553					178.7	-45.0	9366.0	DJI_20260813183727_0015_Z_t0122.jpg
