ранг	ранг_в_группе	расстояние	сигнатура	d_ab	d_L	ловушка	d_ловушки	L	a	b	C	цвет_измерен	track	t_best	t0	t1	bbox	score	lat	lon	alt
1510	1510	0.923	рюкзак-синий	5.2	18.3	снег-в-тени	0.359	57.1	-0.5	-9.0	9.0	bbox	1509	208.2	208.2	210.2	1340,163,6,4	75.1	39.4863270	73.5937840	4927.5
1511	1511	0.879	стакан-марка-красная	2.2	23.3	порода-в-тени	1.398	26.5	9.0	0.0	9.0	bbox	1510	149.1	149.1	149.1	377,997,6,7	74.2	39.4863290	73.5937850	4927.5
1512	1512	1.331	стакан-марка-красная	9.9	13.7	порода-охристая	0.956	36.1	4.0	8.0	8.9	bbox	1511	211.2	211.2	211.2	1405,240,10,5	74.0	39.4863280	73.5937840	4927.5
1513	1513	0.778	стакан-марка-красная	2.8	19.4	порода-в-тени	1.421	30.4	9.0	-1.0	9.1	bbox	1512	111.1	109.1	111.1	452,995,11,2	73.6	39.4863270	73.5937820	4927.5
1514	1514	0.853	рюкзак-синий	5.0	16.3	снег-в-тени	1.061	22.5	4.0	-10.0	10.8	bbox	1513	75.1	75.1	75.1	49,485,3,8	73.4	39.4863280	73.5937830	4927.6
1515	1515	1.325	стакан-марка-красная	3.6	34.9	порода-в-тени	1.395	14.9	9.0	-2.0	9.2	bbox	1514	94.1	94.1	94.1	1086,146,7,3	72.6	39.4863270	73.5937820	4927.5
1516	1516	1.740	стакан-марка-красная	13.0	17.1	порода-в-тени	0.458	32.7	-2.0	0.0	2.0	bbox	1515	93.1	93.1	100.1	359,198,3,8	71.4	39.4863270	73.5937820	4927.5
1517	1517	1.502	стакан-марка-красная	8.9	28.2	порода-охристая	0.987	21.6	5.5	8.0	9.7	bbox	1516	108.1	108.1	108.1	921,1009,2,12	71.2	39.4863260	73.5937820	4927.5
1518	1518	1.269	рюкзак-синий	7.8	22.9	порода-в-тени	0.943	15.9	3.0	-6.5	7.2	bbox	1517	111.1	111.1	111.1	671,795,6,4	71.2	39.4863270	73.5937820	4927.5
1519	1519	1.489	стакан-марка-красная	11.9	2.7	снег-в-тени	0.753	47.1	-0.5	-2.0	2.1	bbox	1518	106.1	106.1	106.1	247,971,5,6	70.8	39.4863270	73.5937820	4927.5
1520	1520	2.077	рюкзак-синий	13.5	34.1	порода-в-тени	0.564	4.7	-2.5	-1.0	2.7	bbox	1519	191.2	191.2	191.2	1876,668,6,6	69.8	39.4863260	73.5937830	4927.4
1521	1521	2.093	рюкзак-синий	14.3	30.4	порода-в-тени	0.445	8.4	-2.0	0.0	2.0	bbox	1520	147.1	147.1	147.1	1759,41,4,8	69.7	39.4863290	73.5937850	4927.5
1522	1522	1.463	стакан-марка-красная	11.0	13.5	снег-розовый	0.620	63.3	0.0	0.0	0.0	bbox	1521	107.1	107.1	107.1	645,903,8,8	69.4	39.4863260	73.5937820	4927.5
1523	1523	2.403	палка-древко-контроль	15.0	41.9	снег-пересвеченный	0.771	83.5	-9.0	0.0	9.0	bbox	1522	211.2	211.2	211.2	163,1077,8,3	68.6	39.4863280	73.5937840	4927.5
1524	1524	1.460	рюкзак-синий	7.6	31.0	порода-в-тени	1.275	7.8	5.0	-7.5	9.0	bbox	1523	90.1	90.1	90.1	1067,0,4,5	68.5	39.4863270	73.5937820	4927.5
1525	1525	0.920	рюкзак-синий	6.1	14.5	снег-в-тени	1.719	24.3	0.0	-20.0	20.0	bbox	1524	110.1	110.1	110.1	345,29,13,4	68.5	39.4863260	73.5937820	4927.5
1526	1526	2.344	стакан-марка-красная	15.0	39.2	снег-пересвеченный	0.379	89.0	-4.0	0.0	4.0	bbox	1525	91.1	91.1	98.1	93,443,4,6	68.0	39.4863270	73.5937820	4927.5
1527	1527	1.342	стакан-марка-красная	8.9	20.8	снег-розовый	0.468	70.6	3.0	5.0	5.8	bbox	1526	208.2	208.2	208.2	1664,303,6,3	67.6	39.4863270	73.5937840	4927.5
1528	1528	1.512	стакан-марка-красная	11.0	17.3	снег-освещённый	0.506	67.1	0.0	0.0	0.0	bbox	1527	98.1	98.1	99.1	191,156,5,7	67.1	39.4863270	73.5937810	4927.5
1529	1529	0.607	рюкзак-синий	3.6	11.4	снег-в-тени	0.404	50.2	-1.0	-11.0	11.0	bbox	1528	209.2	209.2	209.2	1905,340,4,5	67.0	39.4863280	73.5937840	4927.5
1530	1530	0.673	стакан-марка-красная	5.4	0.4	порода-охристая	0.794	50.2	9.0	6.0	10.8	bbox	1529	211.2	211.2	211.2	1275,383,4,6	66.9	39.4863280	73.5937840	4927.5
1531	1531	1.246	стакан-марка-красная	4.0	32.0	порода-охристая	1.533	17.8	15.0	1.0	15.0	bbox	1530	217.2	217.2	217.2	825,918,4,5	66.8	39.4863280	73.5937840	4927.5
