track	t_best	t0	t1	bbox	score	lat	lon	alt
61	9.0	7.0	9.0	1613,1065,20,15	371.5			
62	37.0	37.0	42.0	1752,977,21,19	365.6			
63	34.0	27.0	34.0	1555,1005,14,15	353.4			
64	71.0	71.0	71.0	1833,1041,16,12	349.6			
65	29.0	29.0	29.0	1863,769,16,12	345.4			
66	92.0	92.0	92.0	418,999,21,8	340.6			
67	94.0	92.0	94.0	1481,639,24,20	339.2			
68	93.0	93.0	93.0	8,1009,16,7	339.1			
69	27.0	20.0	33.0	1669,1061,17,11	336.0			
70	53.0	53.0	53.0	1916,0,4,34	335.0			
71	14.0	14.0	14.0	1684,0,13,27	332.7			
72	45.0	42.0	51.0	1913,0,7,27	330.3			
73	65.0	64.0	66.0	247,809,10,20	320.8			
74	97.0	96.0	97.0	415,39,12,14	319.9			
75	98.0	98.0	99.0	1827,51,6,32	318.1			
76	0.0	0.0	0.0	233,853,8,16	305.0			
77	96.0	96.0	97.0	452,77,13,14	304.9			
78	71.0	71.0	72.0	1878,983,20,18	302.4			
79	16.0	12.0	16.0	745,1029,16,12	294.3			
80	42.0	35.0	45.0	1917,169,3,25	292.1			
81	29.0	29.0	29.0	1723,877,23,14	285.9			
82	42.0	42.0	42.0	1917,362,3,31	277.2			
83	97.0	95.0	97.0	43,337,10,16	273.4			
84	33.0	31.0	35.0	1655,1073,18,7	272.6			
85	93.0	92.0	93.0	1521,639,14,14	264.2			
86	18.0	16.0	18.0	1542,239,15,7	254.6			
87	46.0	46.0	46.0	1913,0,4,17	251.9			
88	40.0	39.0	42.0	1758,777,9,22	248.9			
89	35.0	33.0	35.0	1822,963,20,14	246.5			
90	37.0	34.0	41.0	1764,809,9,22	235.5			
91	29.0	28.0	30.0	1585,995,15,13	231.7			
92	72.0	70.0	72.0	1870,1025,11,12	229.2			
93	35.0	33.0	35.0	1883,923,18,13	224.1			
94	52.0	47.0	52.0	1905,105,8,8	223.2			
95	39.0	39.0	41.0	1677,18,4,23	221.7			
96	53.0	53.0	53.0	1905,113,15,14	219.6			
97	5.0	3.0	5.0	1901,258,7,16	219.3			
98	52.0	52.0	52.0	1447,347,14,10	218.4			
99	21.0	21.0	21.0	1748,559,9,8	217.2			
100	51.0	50.0	51.0	1913,833,7,18	216.1			
101	79.0	79.0	79.0	269,801,8,16	208.0			
102	11.0	6.0	11.0	1899,1071,14,9	207.8			
103	70.0	70.0	70.0	193,857,18,8	207.8			
104	1.0	1.0	1.0	182,987,27,6	207.3			
105	32.0	32.0	32.0	1305,127,10,17	203.5			
106	38.0	36.0	38.0	1633,549,10,14	202.7			
107	72.0	72.0	72.0	1880,1018,11,10	202.7			
108	95.0	95.0	95.0	1457,0,10,17	200.9			
